title,author,description,code,genre,cover_url
Autobiography,Benjamin Franklin,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000001,autobiography,https://covers.openlibrary.org/b/olid/OL7163111M-M.jpg
Trump,Donald Trump,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000002,autobiography,https://covers.openlibrary.org/b/olid/OL2407396M-M.jpg
My place,Sally Morgan,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000003,autobiography,https://covers.openlibrary.org/b/olid/OL2039282M-M.jpg
Persepolis,Marjane Satrapi,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000004,autobiography,https://covers.openlibrary.org/b/olid/OL39067201M-M.jpg
"Eleanor Roosevelt: Vol. 1, 1884-1933",Blanche Wiesen Cook,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000005,autobiography,https://covers.openlibrary.org/b/olid/OL2407238M-M.jpg
Fun a velt vos iz nishto mer,Israel Joshua Singer,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000006,autobiography,https://covers.openlibrary.org/b/olid/OL22877017M-M.jpg
Laterna magica,Ingmar Bergman,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000007,autobiography,https://covers.openlibrary.org/b/olid/OL15222756M-M.jpg
Bluebeard: a novel,Kurt Vonnegut,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000008,autobiography,https://covers.openlibrary.org/b/olid/OL21380109M-M.jpg
Jimi Hendrix,Sharon Lawrence,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000009,autobiography,https://covers.openlibrary.org/b/olid/OL26806770M-M.jpg
Across China on foot,Edwin John Dingle,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000010,autobiography,https://covers.openlibrary.org/b/olid/OL23267346M-M.jpg
Lady sings the blues,Billie Holiday,"An autobiography is a self-written book that tells the life story of the author, sharing their experiences, challenges, and personal insights.",AB000011,autobiography,https://covers.openlibrary.org/b/olid/OL3179429M-M.jpg
Guess How Much I Love You,Sam McBratney,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000001,bedtime,https://covers.openlibrary.org/b/olid/OL22362179M-M.jpg
"Goodnight Moon, 60th Anniversary Edition",Margaret Wise Brown,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000002,bedtime,https://covers.openlibrary.org/b/olid/OL15353628M-M.jpg
Cricket in Times Square,George Selden,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000003,bedtime,https://covers.openlibrary.org/b/olid/OL24204364M-M.jpg
Mouse Tales,Arnold Lobel,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000004,bedtime,https://covers.openlibrary.org/b/olid/OL5296557M-M.jpg
The Napping House (La Casa Adormecida),Audrey Wood,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000005,bedtime,https://covers.openlibrary.org/b/olid/OL1270569M-M.jpg
Good Night Gorilla,Peggy Rathmann,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000006,bedtime,https://covers.openlibrary.org/b/olid/OL1725270M-M.jpg
Piggies,Don Wood,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000007,bedtime,https://covers.openlibrary.org/b/olid/OL24368813M-M.jpg
"Ten, nine, eight",Molly Bang,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000008,bedtime,https://covers.openlibrary.org/b/olid/OL21617395M-M.jpg
The snowman,Raymond Briggs,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000009,bedtime,https://covers.openlibrary.org/b/olid/OL24754536M-M.jpg
Biscuit,Alyssa Satin Capucilli,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000010,bedtime,https://covers.openlibrary.org/b/olid/OL7292452M-M.jpg
Guess How Much I Love You,Sam McBratney,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000011,bedtime,https://covers.openlibrary.org/b/olid/OL40208661M-M.jpg
I Want My Potty,Tony Ross,"Bedtime books are stories designed for children to read or be read to before they go to sleep, with soothing narratives and illustrations to help them relax and prepare for bedtime.",BT000012,bedtime,https://covers.openlibrary.org/b/olid/OL22411119M-M.jpg
Chemical Biology in Regenerative Medicine,Charles C. Hong,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00001,biology,https://covers.openlibrary.org/b/olid/OL27557847M-M.jpg
Hex,Rhiannon Lassiter,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00002,biology,https://covers.openlibrary.org/b/olid/OL28137027M-M.jpg
Secret Family,David Bodanis,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00003,biology,https://covers.openlibrary.org/b/olid/OL668990M-M.jpg
Bone Quantitative Ultrasound,Pascal Laugier,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00004,biology,https://covers.openlibrary.org/b/olid/OL34513584M-M.jpg
Mathematical methods and models in the biological sciences,Martin Eisen,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00005,biology,https://covers.openlibrary.org/b/olid/OL20735462M-M.jpg
The scientists behind living things,Robert Snedden,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00006,biology,https://archive.org/services/img/scientistsbehind0000sned_a6d5
Biological oceanography,Carol M. Lalli,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00007,biology,https://covers.openlibrary.org/b/olid/OL1716614M-M.jpg
Integrated fish farming,Workshop on Integrated Fish Farming (199...,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00008,biology,https://covers.openlibrary.org/b/olid/OL680897M-M.jpg
The Serengeti lion,George B. Schaller,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00009,biology,https://covers.openlibrary.org/b/olid/OL22099135M-M.jpg
Biological Membranes,Dennis Chapman,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00010,biology,https://covers.openlibrary.org/b/olid/OL10071220M-M.jpg
Advanced biology,J. Simpkins,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00011,biology,https://covers.openlibrary.org/b/olid/OL11248460M-M.jpg
Student dictionary of biology,"Gray, Peter","Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00012,biology,https://covers.openlibrary.org/b/olid/OL5410262M-M.jpg
Biological Investigations,Edward Devine,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00013,biology,https://covers.openlibrary.org/b/olid/OL8005233M-M.jpg
Life Cycles,Linda Buellis,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00014,biology,https://covers.openlibrary.org/b/olid/OL27410582M-M.jpg
My First Body Book,Clive Gifford,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00015,biology,https://covers.openlibrary.org/b/olid/OL39658054M-M.jpg
"Heads, Shoulders, Muscles, and Bones",Alix Wood,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00016,biology,https://covers.openlibrary.org/b/olid/OL39655773M-M.jpg
Simple life forms,Darlene R. Stille,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00017,biology,https://covers.openlibrary.org/b/olid/OL11514105M-M.jpg
Functional Metabolism,Kenneth B. Storey,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00018,biology,https://covers.openlibrary.org/b/olid/OL18216469M-M.jpg
Single molecule analysis,Erwin J. G. Peterman,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00019,biology,https://covers.openlibrary.org/b/olid/OL25546818M-M.jpg
Transfer RNA in protein synthesis,Dolph L. Hatfield,"Biology books are educational texts that explore the science of life. They cover topics such as genetics, evolution, ecology, and the study of living organisms. These books provide insights into the structure, function, and interconnectedness of life forms on Earth. They are essential resources for students, researchers, and anyone interested in understanding the natural world.",BIO00020,biology,https://covers.openlibrary.org/b/olid/OL1703087M-M.jpg
Economics of agricultural development,George W. Norton,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000001,business__economics,https://covers.openlibrary.org/b/olid/OL24574871M-M.jpg
International economics: theory and policy,Paul R. Krugman,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000002,business__economics,https://covers.openlibrary.org/b/olid/OL21600444M-M.jpg
Consumer behavior,Del I. Hawkins,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000003,business__economics,https://covers.openlibrary.org/b/olid/OL3512399M-M.jpg
Adam Smith Review,Fonna Forman,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000004,business__economics,https://covers.openlibrary.org/b/olid/OL28805252M-M.jpg
Tax for Australians for dummies,Jimmy B. Prince,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000005,business__economics,https://covers.openlibrary.org/b/olid/OL25544115M-M.jpg
Plan your estate,Denis Clifford,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000006,business__economics,https://covers.openlibrary.org/b/olid/OL18200731M-M.jpg
"Ethics, law and society",Jennifer Gunning,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000007,business__economics,https://covers.openlibrary.org/b/olid/OL28334982M-M.jpg
Ecotourism,David A. Fennell,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000008,business__economics,https://covers.openlibrary.org/b/olid/OL28784923M-M.jpg
Advanced accounting,Floyd A. Beams,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000009,business__economics,https://covers.openlibrary.org/b/olid/OL4402905M-M.jpg
The world economy,David Greenaway,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000010,business__economics,https://covers.openlibrary.org/b/olid/OL27096314M-M.jpg
Test your entrepreneurial I.Q.,K. Hawkins,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000001,entrepreneurship,https://covers.openlibrary.org/b/olid/OL10215099M-M.jpg
Women and entrepreneurship,Candida G. Brush,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000002,entrepreneurship,https://covers.openlibrary.org/b/olid/OL11912123M-M.jpg
Management and Entrepreneurism (Smart Strategies),John Chicken,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000003,entrepreneurship,https://covers.openlibrary.org/b/olid/OL8630300M-M.jpg
Unsung Heroes of the American Industry,Mark Poirier,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000004,entrepreneurship,https://covers.openlibrary.org/b/olid/OL7962247M-M.jpg
World Encyclopedia Of Entrepreneurship,Leo Paul Dana,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000005,entrepreneurship,https://covers.openlibrary.org/b/olid/OL25987351M-M.jpg
Entrepreneurship,Paul H. Wilken,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000006,entrepreneurship,https://covers.openlibrary.org/b/olid/OL4402820M-M.jpg
Principles of Business,Salem Press,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000007,entrepreneurship,https://covers.openlibrary.org/b/olid/OL37277307M-M.jpg
Entrepreneurial wit & wisdom,Robert L. Qualls,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000008,entrepreneurship,https://covers.openlibrary.org/b/olid/OL2102362M-M.jpg
Creating a Culture of Innovation,Alexandra Deschamps-Sonsino,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000009,entrepreneurship,https://covers.openlibrary.org/b/olid/OL31935680M-M.jpg
The Effective Entrepreneur - a practical guide to leadership and management of others and self,John Caines,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000010,entrepreneurship,https://covers.openlibrary.org/b/olid/OL12294967M-M.jpg
24 Carat Bold The Standard For Real Thought Leaders,Mindy Gibbins-Klein,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000011,entrepreneurship,https://covers.openlibrary.org/b/olid/OL26072937M-M.jpg
